,First,,Second,,Third,,Fourth,,All,
delta,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,367.2169,360.4572489,369.09243,361.9490799,367.81347,360.1130329,367.3469,361.0981398,369.23338,361.9611844
0.5,79.57489,79.18917755,80.32342,79.83629687,80.36584,80.03955425,80.15225,79.79309531,10.2175,9.694683781
1,10.28988,9.743787713,10.26122,9.699776542,10.23095,9.740561631,10.22336,9.722745272,1.26871,0.58323952
1.5,2.52375,1.954332145,2.51843,1.956460736,2.52778,1.966541875,2.53095,1.965736691,1.00128,0.035754362
2,1.26651,0.580590898,1.27116,0.589012499,1.26897,0.584438666,1.26989,0.585502191,1,0
2.5,1.03121,0.179098455,1.0306,0.178224459,1.02999,0.176892376,1.0322,0.181998602,1,0
3,1.00154,0.039212801,1.00147,0.03831258,1.00156,0.039466213,1.00154,0.039719569,1,0
3.5,1,0,1.00005,0.007070926,1.00003,0.005477171,1.00004,0.00632446,1,0
4,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0
