,First,,Second,,Third,,Fourth,,All,
delta,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,368.09331,359.822145,368.55113,361.0764854,367.21477,360.5681551,367.76151,359.9696226,368.71916,358.9795981
0.5,51.06271,50.34443071,43.59985,43.29748303,36.21541,35.7209332,40.93252,40.43155022,1.23163,0.5354628
1,5.27253,4.759548711,4.27462,3.736086648,3.43545,2.892659152,4.00701,3.458019728,1,0
1.5,1.53649,0.910228963,1.36274,0.703338211,1.22604,0.526506116,1.31465,0.641069019,1,0
2,1.04855,0.225861479,1.02303,0.153882604,1.00882,0.094245936,1.01822,0.135897816,1,0
2.5,1.00147,0.03831258,1.00028,0.016730941,1.00007,0.008366349,1.00027,0.01642954,1,0
3,1.00002,0.004472114,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0
