,First,,Second,,Third,,Fourth,,All,
delta,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.50422,360.4491662,368.13534,359.6540766,368.02499,361.5869684,368.30129,360.4701259,366.96237,359.3606316
0.5,70.27434,69.82169912,64.39361,64.06651705,59.49195,59.14453632,66.00628,65.45067959,25.95953,25.48588094
1,8.41101,7.871158767,7.40993,6.861311695,6.60077,6.096895696,7.54778,7.013617396,2.42933,1.854982523
1.5,2.14666,1.56712967,1.93917,1.350928555,1.78086,1.176176642,1.97834,1.387339213,1.08757,0.309164116
2,1.17538,0.455262483,1.12881,0.380393784,1.09164,0.316485564,1.13343,0.387540884,1.00104,0.032232418
2.5,1.01505,0.12314077,1.00881,0.093874768,1.00448,0.067379337,1.00915,0.095741157,1,0
3,1.00033,0.018162995,1.00014,0.01183139,1.00006,0.007745773,1.00011,0.010487564,1,0
3.5,1.00001,0.003162278,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0
