epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.8968,359.4479,370.1179,362.7611,369.42,362.4693,369.6045,354.7917,369.8155,361.6066,370.6256,361.6598,369.2326,359.8638,369.0928,361.2987,369.8076,365.5475,369.7651,360.9799,369.9794,365.6181,369.1072,362.583,369.2102,359.614,369.4575,360.2951,369.9357,360.1501,370.8482,367.1817,369.7417,364.666,369.934,363.3009
0.5,12.2495,11.76781619,12.046,11.63752668,11.8913,11.29540805,11.3581,10.75063821,11.2137,10.71494812,10.5906,10.15562432,10.1852,9.775697284,9.7947,9.366809789,9.5323,8.91672067,9.2275,8.660960973,7.757,7.327750036,6.6998,6.22266439,5.9536,5.376796261,5.4741,4.863444715,5.0637,4.53727903,4.7991,4.256401166,4.4844,3.981726014,4.4176,3.832920475
1,2.1686,1.567041672,2.0105,1.421404865,1.8887,1.289759147,1.7341,1.126376519,1.6279,1.013283901,1.5304,0.894961416,1.4581,0.816401275,1.3726,0.708533303,1.3056,0.621487944,1.2765,0.601401628,1.1461,0.403448965,1.0825,0.299837857,1.0621,0.257779431,1.0491,0.226482493,1.0376,0.197459208,1.0311,0.177019557,1.0281,0.169449879,1.0234,0.157018806
1.5,1.303,0.633428073,1.1709,0.451346387,1.0767,0.282533348,1.033,0.184158604,1.0142,0.119999167,1.0067,0.082799732,1.0031,0.055594056,1.0024,0.048933419,1.0014,0.037392243,1.0007,0.026449574,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1.0603,0.252329699,1.0042,0.064674402,1.0004,0.019996999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2.5,1.0011,0.033149659,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
