epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.8394,357.5245,370.9992,365.4403,369.3458,366.5924,370.4131,362.6715,369.2455,363.4586,370.974,360.2861,369.2747,360.472,370.6841,361.2013,370.1759,364.5472,369.1706,356.1285,370.9792,361.4389,369.6595,359.3098,370.1105,357.0147,369.1137,362.1619,369.3165,360.0327,369.574,366.9483,369.4515,363.9565,370.7329,362.5421
0.5,14.9668,14.38664642,14.3447,13.89193221,13.8128,13.3286504,13.5912,13.34453784,13.0642,12.56539165,12.6487,12.49998053,12.0478,11.5594843,11.8889,11.38040896,11.5005,10.8262145,11.0087,10.54009173,9.3521,9.01786326,8.2579,7.710391209,7.2812,6.669885703,6.5326,6.09724978,6.2128,5.643004564,5.8756,5.324543146,5.5365,4.988983538,5.3191,4.853785236
1,2.3986,1.84582197,2.2305,1.677692229,2.0915,1.521104574,1.9295,1.347037936,1.8195,1.231369716,1.7198,1.124461827,1.6074,0.991747748,1.5241,0.899277521,1.4588,0.832329164,1.4037,0.750454948,1.2301,0.532336668,1.1547,0.414228281,1.1101,0.347836296,1.087,0.304039872,1.0727,0.277889245,1.0606,0.255996471,1.053,0.234086479,1.0505,0.227057053
1.5,1.3706,0.694768962,1.2351,0.539682421,1.1251,0.375052072,1.0735,0.282322016,1.0371,0.194749538,1.0175,0.134147492,1.01,0.10149399,1.0068,0.082185372,1.0038,0.061529981,1.0028,0.052843535,1.0005,0.022356207,1.0002,0.014141428,1,0,1.0001,0.01,1,0,1,0,1,0,1,0
2,1.1019,0.333657793,1.0126,0.114203959,1.0013,0.036033871,1.0003,0.017318776,1,0,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2.5,1.0051,0.071235507,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
