epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.2303,360.4386,369.6101,362.7244,370.2156,359.8065,369.7476,358.4035,369.8295,367.0417,369.5153,366.6575,370.269,363.7237,369.2144,361.8308,370.3002,357.3295,369.9997,358.3651,370.7095,364.0647,369.6018,364.0452,370.9152,358.6143,370.2742,360.9666,369.0475,367.3713,369.1391,362.1811,370.8927,366.963,369.319,360.7831
0.5,90.134,88.39861354,90.7418,91.30267439,86.7255,86.56870545,86.8336,86.40136243,86.5648,87.35640168,85.0086,82.87006619,86.3528,86.81233997,85.2703,83.84250828,83.7367,83.98784656,83.139,83.16564273,79.0541,79.97828221,73.7508,72.62590689,70.0555,70.89295593,66.4617,65.76701349,63.1901,62.15179681,59.3322,59.00895058,57.8128,57.7079126,55.3583,55.58585521
1,18.8224,18.22974741,18.6413,18.12405259,17.8546,17.53561543,17.2373,16.84287259,17.0576,16.3258732,15.9999,15.51545594,16.0719,15.54579356,15.7243,15.07531147,15.2855,14.72330355,14.7973,14.33224177,12.462,12.00623884,11.0633,10.53106754,9.8016,9.423901444,8.4702,7.924631975,7.6348,7.027842344,6.8288,6.230037873,6.2117,5.567026342,5.744,5.263253194
1.5,6.5522,6.06957652,6.2313,5.702214643,5.9242,5.391081592,5.6649,5.272986671,5.4766,4.921999091,5.1136,4.551765251,4.9616,4.428418062,4.6685,4.118483209,4.4354,3.914148553,4.2178,3.694472638,3.319,2.766225624,2.6935,2.179961691,2.2567,1.708536514,2.015,1.419780468,1.803,1.211419727,1.669,1.039204982,1.5717,0.940503889,1.5043,0.877529781
2,3.4007,2.857298711,3.1131,2.561555103,2.9389,2.379271503,2.7276,2.197426019,2.5537,1.991861707,2.3527,1.776237093,2.1744,1.616986736,2.0459,1.444645939,1.9152,1.31771871,1.8092,1.20745234,1.4267,0.795418367,1.2295,0.530526056,1.134,0.388148252,1.09,0.314181271,1.0617,0.260192006,1.0465,0.221229845,1.0358,0.189530874,1.0255,0.159537755
2.5,2.2107,1.634249855,2.0462,1.438983192,1.8619,1.26648679,1.6841,1.075928879,1.5252,0.882407403,1.4088,0.739281552,1.3086,0.629289791,1.2242,0.523795567,1.1778,0.455859563,1.127,0.379058529,1.0322,0.181015018,1.0107,0.10576686,1.0045,0.068412119,1.0016,0.039969986,1.0011,0.033149659,1.0009,0.029987996,1.0001,0.01,1.0004,0.019996999
3,1.7125,1.085431511,1.5122,0.874944406,1.3443,0.682351867,1.2086,0.504094685,1.1206,0.373456272,1.0596,0.253878486,1.0347,0.18894306,1.0179,0.137773322,1.0115,0.107558853,1.0062,0.07849953,1.0006,0.024488772,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3.5,1.4115,0.757116287,1.2362,0.53687837,1.0912,0.316057826,1.0325,0.183431499,1.0079,0.088534591,1.0019,0.043549738,1.0005,0.022356207,1.0004,0.019996999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1.2227,0.52204594,1.0717,0.277428922,1.0093,0.097028096,1.0011,0.033149659,1.0003,0.017318776,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1.1257,0.377774776,1.0071,0.083966035,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1.0455,0.221437697,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
