epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,370.3451,359.7915,369.7027,359.6653,370.2399,366.9488,370.0861,362.8782,369.2539,361.4215,369.3729,360.1026,370.6525,363.7469,369.2994,358.9871,369.7463,357.6863,369.5486,365.1864,369.4105,362.1078,370.2828,359.3148,370.456,364.3543,370.1905,365.0203,370.8444,358.0708,369.5789,364.6608,369.2177,356.7942,369.771,361.595
0.5,12.5026,11.89912401,11.6612,11.19268253,11.0784,10.31064908,10.8148,10.35547317,10.147,9.537268317,9.476,8.998250989,9.2063,8.767726479,8.7235,8.228998687,8.3013,7.738404655,7.8501,7.328082974,6.2459,5.786171547,5.1986,4.612535701,4.39,3.842834467,3.8753,3.361618651,3.5616,3.079505443,3.3086,2.734394582,3.1126,2.569938073,2.9709,2.410276775
1,2.2543,1.648909761,1.9813,1.408172079,1.7621,1.149015062,1.6208,1.010301653,1.4378,0.786506846,1.3283,0.662240867,1.2482,0.551930451,1.1917,0.478094099,1.1429,0.397612122,1.1154,0.357904526,1.0392,0.203635721,1.0188,0.138016176,1.0098,0.098513606,1.0074,0.086867684,1.0052,0.071926889,1.0039,0.0623312,1.0024,0.048933419,1.0023,0.047905527
1.5,1.28,0.603685716,1.0915,0.310704689,1.0165,0.129728304,1.0042,0.066202706,1.0008,0.028274369,1.0003,0.017318776,1.0002,0.014141428,1,0,1,0,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1.0219,0.149741885,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
