epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,370.6412,356.8567,370.0679,360.1999,369.1666,359.3317,370.1734,364.6996,369.8042,365.619,370.3026,355.3727,369.7813,368.4326,369.648,364.5811,370.7578,357.2071,370.9867,362.7134,370.6192,361.7168,369.1654,362.3621,370.988,363.1253,369.337,362.4038,370.7987,363.8995,370.8357,365.7537,369.4298,360.0528,370.5235,367.5787
0.5,145.2959,146.7827826,142.3793,140.9612026,144.3127,142.9318434,143.6119,144.2768452,136.7143,137.1821525,139.0762,139.7771296,139.6119,139.7247536,140.1384,140.2442294,138.7127,135.899811,138.4127,139.0061267,134.6204,136.5368021,131.1463,130.0322727,126.9041,126.2410305,120.6749,120.4592182,116.0173,116.1635872,114.1966,115.7478721,112.5372,113.0922084,108.3555,108.3262986
1,29.1194,28.3146237,28.1653,27.0279971,28.5357,28.46446114,27.2128,27.04274851,27.1208,26.90355715,27.0752,27.02116132,26.7857,26.51980591,25.9846,25.33472217,26.0194,25.95818958,25.3913,25.22803262,23.4181,22.6895565,21.857,21.28483158,20.3228,19.58576933,18.2803,17.53447113,17.4722,17.27499551,16.5174,16.13549295,15.1386,14.66709591,14.4615,13.94646077
1.5,8.4427,7.961925391,8.2039,7.778327264,8.2263,7.667696373,7.939,7.461437281,7.8298,7.329024725,7.5049,6.998590859,7.4714,7.024778772,7.3535,6.919358749,7.0101,6.565874585,6.9428,6.489664069,6.1422,5.684101517,5.5674,5.080023416,4.9118,4.4243393,4.5481,4.03706777,4.0512,3.516335453,3.7876,3.212369557,3.4974,3.008670545,3.3263,2.814715007
2,3.8789,3.364456382,3.7974,3.229426599,3.7086,3.117668684,3.5992,3.029204016,3.4529,2.886522959,3.341,2.801875095,3.2514,2.718774947,3.149,2.601245019,3.0419,2.480112797,2.9338,2.378693629,2.5084,1.910260283,2.2017,1.623909116,1.9543,1.35188545,1.7959,1.188353655,1.6896,1.063750439,1.5979,0.988288046,1.5312,0.900615162,1.4592,0.8226804
2.5,2.4676,1.897290228,2.3775,1.803806842,2.2593,1.649040765,2.1871,1.631673934,2.0483,1.461020386,1.9853,1.387254972,1.9154,1.332223826,1.8601,1.275731453,1.7744,1.171598013,1.6972,1.08950946,1.4468,0.812056466,1.2975,0.619057407,1.2098,0.499408551,1.1546,0.422985498,1.124,0.375550401,1.1083,0.351544405,1.0853,0.305341175,1.0706,0.276809144
3,1.8439,1.258447917,1.7519,1.143449666,1.6763,1.068472027,1.5777,0.949027278,1.498,0.860389462,1.4289,0.770197449,1.3741,0.704271815,1.3139,0.638598129,1.2801,0.593025428,1.2184,0.516650881,1.0962,0.320243369,1.0542,0.238050471,1.0285,0.171145199,1.0183,0.138445031,1.0131,0.113708764,1.0089,0.093923757,1.006,0.0772308,1.007,0.083376826
3.5,1.5302,0.899760478,1.4485,0.830311202,1.3771,0.717876817,1.2881,0.602440606,1.2227,0.523002928,1.1589,0.429964274,1.1103,0.344595102,1.0852,0.300249854,1.063,0.254238989,1.0523,0.234883433,1.0133,0.115431549,1.0046,0.06767051,1.0017,0.041198055,1.0013,0.036033871,1.0006,0.024488772,1.0003,0.017318776,1.0003,0.017318776,1.0004,0.019996999
4,1.3552,0.685477898,1.2714,0.588027735,1.1855,0.471711778,1.1159,0.36370375,1.0675,0.271571584,1.0394,0.205552585,1.0229,0.152242924,1.0136,0.119232804,1.0083,0.090730002,1.0053,0.073976059,1.0011,0.033149659,1.0005,0.022356207,1.0001,0.01,1,0,1,0,1,0,1,0,1,0
4.5,1.2429,0.546012274,1.1504,0.416889937,1.0747,0.284478475,1.032,0.183246713,1.0142,0.11916283,1.0045,0.068412119,1.0014,0.037392243,1.0012,0.034621956,1.0003,0.017318776,1.0002,0.014141428,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1.1644,0.4356508,1.0682,0.266750587,1.0168,0.133114732,1.0041,0.063903039,1.0008,0.028274369,1.0003,0.017318776,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
