epsilon,h,arl0,sdrl0
0.1,404.1015625,370.3451,359.7915
0.2,203.2714844,369.7027,359.6653
0.3,137.3535156,370.2399,366.9488
0.4,104.8339844,370.0861,362.8782
0.5,84.7994107,369.2539,361.4215
0.6,71.34063721,369.3729,360.1026
0.7,62.18795776,370.6525,363.7469
0.8,54.99511719,369.2994,358.9871
0.9,49.5483017,369.7463,357.6863
1,45.17336,369.5486,365.1864
1.5,32.15209961,369.4105,362.1078
2,25.62202454,370.2828,359.3148
2.5,21.875,370.456,364.3543
3,19.39208984,370.1905,365.0203
3.5,17.68268585,370.8444,358.0708
4,16.42578125,369.5789,364.6608
4.5,15.46875,369.2177,356.7942
5,14.75603104,369.771,361.595
