epsilon,h,arl0,sdrl0
0.1,1716.85791,369.2303,360.4386
0.2,865.7958984,369.6101,362.7244
0.3,577.746582,370.2156,359.8065
0.4,437.8234863,369.7476,358.4035
0.5,352.9510498,369.8295,367.0417
0.6,296.140625,369.5153,366.6575
0.7,255.859375,370.269,363.7237
0.8,225.8029461,369.2144,361.8308
0.9,201.8554688,370.3002,357.3295
1,182.7490234,369.9997,358.3651
1.5,126.5722656,370.7095,364.0647
2,98.17779541,369.6018,364.0452
2.5,81.34277344,370.9152,358.6143
3,70.39550781,370.2742,360.9666
3.5,62.47314453,369.0475,367.3713
4,56.85546875,369.1391,362.1811
4.5,52.39013672,370.8927,366.9630 
5,48.71704102,369.3190 ,360.7831
